Stock,Company_Name,Sector,Industry,Market_Cap_Cr,Cap_Class,Monthly_Pattern,Monthly_Pattern_Status,Monthly_Pattern_Quality,Monthly_Pattern_Duration_Mo,Monthly_Pattern_Details,Converging_Signals,Weekly_Trend,Weekly_Above_40MA,Weekly_Volume_Expanding,Daily_Setup,Daily_Above_50MA,Sector_Trend,Sector_Stage2_Age_Mo,Index_Regime,Nifty_Monthly_Trend,CMP,Breakout_Zone,Pattern_Bottom,Stop_Loss,Target_1yr,Target_2yr,Target_3yr,Fair_Value_Estimate,Upside_Potential_Pct,Expected_CAGR_2yr_Pct,PE_Ratio,Forward_PE,PB_Ratio,PEG_Ratio,EV_EBITDA,Dividend_Yield_Pct,Dividend_Growth_3yr_Pct,Analyst_Target,Analyst_Count,Analyst_Recommendation,ROE_Pct,ROCE_Pct,ROCE_Trend,Operating_Margin_Pct,OPM_Trend,Net_Margin_Pct,Return_on_Assets_Pct,Revenue_Growth_TTM_Pct,Revenue_Growth_3yr_CAGR,Revenue_Growth_5yr_CAGR,Profit_Growth_TTM_Pct,Profit_Growth_3yr_CAGR,Profit_Growth_5yr_CAGR,EPS_Growth_Quarterly_Pct,EPS_Consistency_Score,EPS_Consistency_Desc,Debt_to_Equity,DE_Trend,Current_Ratio,Interest_Coverage,Free_Cashflow_Cr,FCF_Yield_Pct,Promoter_Holding_Pct,Promoter_Change_QoQ,Promoter_Pledge_Pct,FII_Holding_Pct,FII_Change_QoQ,DII_Holding_Pct,DII_Change_QoQ,52wk_High,52wk_Low,Dist_From_52wk_High_Pct,Dist_From_52wk_Low_Pct,RS_vs_Nifty_1yr_Pct,RS_vs_Nifty_3yr_Pct,Monthly_Vol_Surge,Beta,Piotroski_F_Score,Fundamental_Score_40,Technical_Score_30,Valuation_Score_20,Momentum_Score_10,Overall_Score_100,Rating_Grade,Why_Buy,Key_Risks,Investment_Horizon,Risk_Level,Data_Sources,Data_Quality_Pct,Monthly_Bars,Next_Earnings,Scan_Date,First_Seen_Date,Days_On_Watchlist,Price_Change_Since_First_Pct,Times_Scanned,Score_vs_First
SEAMECLTD,Seamec Limited,Industrials,Marine Shipping,4047.0,Small-Cap,MonthlyStage2,Breaking Out,1.0,24,10-EMA=1290 | 30-EMA=1123 | Above by 39.0% | MA turning=Yes,MonthlyCupHandle+MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,True,Uptrend,True,Stage2,4,Uptrend,Uptrend,1561.6,1123.43,796.15,1327.36,6846.48,13384.18,26164.73,13384.18,757.1,192.8,16.05,,3.1,0.17,10.51,0.0,0.0,,0,none,21.8,20.0,2.03,42.0,2.06,26.39,9.36,46.01,29.63,29.94,188.64,95.49,20.74,140.8,0.15,highly inconsistent earnings,0.27,,1.89,,-201.82,-4.99,72.72,0.0,,3.73,0.37,4.49,0.41,1709.2,752.55,8.6,107.5,89.07,112.28,2.22,0.09,6,35.0,28.0,12.0,8.0,83.0,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~193% CAGR (2yr) | Revenue CAGR 30% | Profit CAGR 95% | ROE 22% | ROCE trend rising ↑ | Low D/E 0.27,None identified,1-3 years,Low-Medium,"yfinance, screener.in",100,287,,2026-06-13,2026-06-01,12,0.0,1,0.0
JINDRILL,Jindal Drilling & Industries Limited,Energy,Oil & Gas Equipment & Services,1829.0,Small-Cap,MonthlyDoubleBottom,Forming,1.0,21,Sep 21mo | Mid rally 456% | Asymmetry 0%,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Constructive,True,Stage2,1,Uptrend,Uptrend,655.45,1032.12,185.38,557.13,1759.48,2279.76,2953.89,2279.76,247.8,86.5,8.69,,1.0,0.29,4.46,16.0,25.99,,0,none,12.5,15.4,2.69,35.0,3.43,21.13,4.92,20.41,24.87,20.16,-2.31,29.57,25.42,-36.6,0.15,highly inconsistent earnings,0.05,,1.58,,130.28,7.12,66.78,0.34,,0.62,-0.23,0.0,0.0,693.5,440.1,5.5,48.9,10.86,69.85,8.92,-0.36,7,40.0,25.0,13.0,4.0,82.0,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~86% CAGR (2yr) | Revenue CAGR 25% | Profit CAGR 30% | ROCE trend rising ↑ | Nearly debt-free | Promoter 67% holding,Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,261,,2026-06-13,2026-06-01,12,0.0,1,-1.0
SKYGOLD,Sky Gold and Diamonds Limited,Consumer Cyclical,Luxury Goods,8184.0,Mid-Cap,MonthlyDoubleBottom,Forming,0.372,13,Sep 13mo | Mid rally 40% | Asymmetry 2%,,Uptrend,True,True,Tight-Above-MAs,True,Stage2,3,Uptrend,Uptrend,458.3,402.85,285.0,389.56,2310.73,3646.1,13955.2,5678.61,695.6,182.1,29.24,17.27,6.83,0.2,20.32,0.0,,597.33,3,strong_buy,29.2,27.0,3.3,7.0,1.1,4.37,14.83,77.42,76.03,,112.03,145.75,,120.8,0.4,lumpy earner,0.72,,1.89,,137.76,1.68,51.74,0.0,,1.2,0.42,13.14,1.48,578.95,246.05,20.8,86.3,53.63,1528.72,1.19,0.15,5,40.0,19.96,14.0,8.0,82.0,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~182% CAGR (2yr) | Revenue CAGR 76% | Profit CAGR 146% | ROE 29% | ROCE 27% | ROCE trend rising ↑,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,41,,2026-06-13,2026-06-01,12,0.0,1,-1.0
LUPIN,Lupin Limited,Healthcare,Drug Manufacturers - Specialty & Generic,103687.0,Large-Cap,MonthlyDoubleBottom,Forming,0.974,41,Sep 41mo | Mid rally 98% | Asymmetry 1%,,Sideways-Above-MA,True,True,Constructive,False,Stage2,5,Uptrend,Uptrend,2287.4,1234.32,618.72,1944.29,14085.09,20309.91,73631.59,32204.16,787.9,198.0,19.49,22.27,4.62,0.15,12.39,53.0,44.22,2468.53,38,buy,29.1,30.3,5.69,32.0,4.29,19.07,12.76,23.12,18.88,13.02,61.98,128.64,54.16,89.0,0.15,highly inconsistent earnings,0.29,,1.9,,4926.22,4.75,46.85,-0.04,,21.7,0.2,25.32,-0.26,2494.0,1836.8,8.3,24.5,26.48,134.47,1.09,0.19,7,40.0,22.19,13.0,6.0,81.2,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~198% CAGR (2yr) | Revenue CAGR 19% | Profit CAGR 129% | ROE 29% | ROCE 30% | ROCE trend rising ↑,Earnings due 2026-08-05 | Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,297,2026-08-05,2026-06-13,2026-06-01,12,0.0,1,0.0
MCX,Multi Commodity Exchange of India Limited,Financial Services,Financial Data & Stock Exchanges,71137.0,Large-Cap,MonthlyDoubleBottom,Forming,0.968,25,Sep 25mo | Mid rally 104% | Asymmetry 7%,,Uptrend,True,False,Uptrend,True,Stage2,12,Uptrend,Uptrend,3414.7,251.5,119.52,2902.49,2862.72,4966.84,12330.55,5941.29,45.5,20.6,53.47,33.32,16.9,0.5,37.97,21.0,19.91,3505.17,12,buy,56.3,71.4,10.17,71.0,4.26,54.82,17.92,106.83,64.83,42.56,137.86,107.54,42.71,291.1,0.15,highly inconsistent earnings,0.0,,1.31,,2811.41,3.95,,,,26.07,5.43,54.35,-4.81,3480.0,1379.2,1.9,147.6,99.34,1033.5,0.58,0.59,6,40.0,26.12,8.0,7.0,81.1,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~21% CAGR (2yr) | Revenue CAGR 65% | Profit CAGR 108% | ROE 56% | ROCE 71% | ROCE trend rising ↑,High PE 53 | Earnings due 2026-07-30 | Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",90,171,2026-07-30,2026-06-13,2026-06-01,12,0.0,1,2.0
NATIONALUM,National Aluminium Company Limited,Basic Materials,Aluminum,72676.0,Large-Cap,MonthlyDoubleBottom,Forming,0.971,11,Sep 11mo | Mid rally 98% | Asymmetry 1%,,Sideways-Above-MA,True,False,Constructive,False,Stage2,1,Uptrend,Uptrend,398.95,109.96,55.48,339.11,1159.79,1270.1,2941.66,1847.08,218.4,78.4,11.83,10.5,3.36,0.2,7.44,202.0,5.73,404.64,11,none,29.4,39.6,4.8,44.0,4.69,31.32,19.88,6.28,7.77,14.78,10.04,59.26,34.87,-16.7,0.15,highly inconsistent earnings,0.0,,3.6,,3684.96,5.07,51.28,0.0,,22.27,2.6,10.75,-1.6,445.15,179.93,10.4,121.7,124.1,428.71,0.39,0.58,6,40.0,20.65,12.0,8.0,80.6,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~78% CAGR (2yr) | Profit CAGR 59% | ROE 29% | ROCE 40% | ROCE trend rising ↑ | Nearly debt-free,Earnings due 2026-07-30 | Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,326,2026-07-30,2026-06-13,2026-06-01,12,0.0,1,-2.0
NAM-INDIA,Nippon Life India Asset Management Limited,Financial Services,Asset Management,71070.0,Large-Cap,MonthlyDoubleBottom,Forming,1.0,36,Sep 36mo | Mid rally 133% | Asymmetry 3%,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,12,Uptrend,Uptrend,1082.2,412.28,174.58,919.87,636.16,924.54,1048.16,816.58,,,47.17,33.58,15.22,1.66,35.0,193.0,18.22,1086.48,23,buy,34.5,43.8,3.06,66.0,0.69,52.14,25.08,7.59,21.46,13.81,18.9,28.36,17.59,28.8,0.15,highly inconsistent earnings,0.02,,4.2,,1302.41,1.83,71.93,-0.12,,7.35,-0.55,14.77,0.94,1144.4,714.05,5.4,51.6,46.1,289.82,0.71,0.59,7,40.0,28.5,2.0,10.0,80.5,STRONG BUY ⭐⭐⭐⭐⭐,Revenue CAGR 21% | Profit CAGR 28% | ROE 34% | ROCE 44% | ROCE trend rising ↑ | Nearly debt-free,Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,103,,2026-06-13,2026-06-01,12,0.0,1,0.0
SANDUMA,The Sandur Manganese & Iron Ores Limited,Basic Materials,Steel,10833.0,Mid-Cap,MonthlyDoubleBottom,Forming,0.877,11,Sep 11mo | Mid rally 90% | Asymmetry 2%,MonthlyCupHandle+MonthlyDoubleBottom,Uptrend,True,True,Tight-Above-MAs,True,Stage2,1,Uptrend,Uptrend,226.15,210.6,109.48,192.23,398.02,534.98,719.07,534.98,136.6,53.8,16.5,,3.33,0.48,9.58,19.0,25.0,,0,none,23.2,24.4,-1.57,24.0,-2.46,12.9,11.16,62.3,33.76,48.61,39.7,34.41,34.95,50.5,0.15,highly inconsistent earnings,0.31,,1.16,,793.91,7.33,74.22,0.0,,1.63,0.43,0.66,-0.01,273.0,141.37,17.2,60.0,50.2,,0.9,0.74,4,38.0,25.52,10.0,7.0,80.5,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~54% CAGR (2yr) | Revenue CAGR 34% | Profit CAGR 34% | ROE 23% | ROCE 24% | Promoter 74% holding,Margin compression ↓ | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,33,,2026-06-13,2026-06-01,12,0.0,1,0.0
TIPSMUSIC,Tips Music Limited,Communication Services,Entertainment,8833.0,Mid-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=584 | 30-EMA=532 | Above by 22.5% | MA turning=Yes,MonthlyCupHandle+MonthlyStage2,Uptrend,True,False,Tight-Above-MAs,True,Downtrend,0,Uptrend,Uptrend,651.65,532.13,394.42,553.9,926.89,1373.85,3470.47,1793.53,110.8,45.2,40.81,29.83,33.98,0.44,31.47,232.0,12.62,744.33,3,none,92.33,,,73.42,,57.72,48.7,32.4,,,93.5,,,92.9,0.5,insufficient history,0.02,,3.12,,174.48,1.98,64.15,0.0,,7.48,0.14,4.94,-0.03,726.75,481.15,10.3,35.4,6.91,134.33,0.53,0.25,5,40.0,27.5,8.0,5.0,80.5,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~45% CAGR (2yr) | Revenue CAGR 32% | Profit CAGR 94% | ROE 92% | Nearly debt-free | Promoter 64% holding,None identified,1-3 years,Low-Medium,"yfinance, screener.in",70,287,,2026-06-13,2026-06-01,12,0.0,1,2.0
GOKULAGRO,Gokul Agro Resources Limited,Consumer Defensive,Packaged Foods,6871.0,Small-Cap,MonthlyDoubleBottom,Forming,0.42,10,Sep 10mo | Mid rally 42% | Asymmetry 0%,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,15,Uptrend,Uptrend,233.07,67.5,47.4,198.11,979.41,1379.69,1943.57,1379.69,492.0,143.3,18.58,,4.84,0.45,10.05,0.0,,,0,none,30.0,36.7,2.09,3.0,0.23,1.54,8.6,23.15,30.88,23.53,50.0,40.87,52.32,144.8,0.15,highly inconsistent earnings,0.41,,1.23,,420.05,6.11,74.24,0.0,,1.51,-0.07,0.09,0.08,249.92,133.28,6.7,74.9,54.29,279.85,0.14,-0.1,5,40.0,20.04,12.0,8.0,80.0,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~143% CAGR (2yr) | Revenue CAGR 31% | Profit CAGR 41% | ROE 30% | ROCE 37% | ROCE trend rising ↑,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,124,,2026-06-13,2026-06-01,12,-1.6,1,0.0
