Stock,Company_Name,Sector,Industry,Market_Cap_Cr,Cap_Class,Monthly_Pattern,Monthly_Pattern_Status,Monthly_Pattern_Quality,Monthly_Pattern_Duration_Mo,Monthly_Pattern_Details,Converging_Signals,Weekly_Trend,Weekly_Above_40MA,Weekly_Volume_Expanding,Daily_Setup,Daily_Above_50MA,Sector_Trend,Sector_Stage2_Age_Mo,Index_Regime,Nifty_Monthly_Trend,CMP,Breakout_Zone,Pattern_Bottom,Stop_Loss,Target_1yr,Target_2yr,Target_3yr,Fair_Value_Estimate,Upside_Potential_Pct,Expected_CAGR_2yr_Pct,PE_Ratio,Forward_PE,PB_Ratio,PEG_Ratio,EV_EBITDA,Dividend_Yield_Pct,Dividend_Growth_3yr_Pct,Analyst_Target,Analyst_Count,Analyst_Recommendation,ROE_Pct,ROCE_Pct,ROCE_Trend,Operating_Margin_Pct,OPM_Trend,Net_Margin_Pct,Return_on_Assets_Pct,Revenue_Growth_TTM_Pct,Revenue_Growth_3yr_CAGR,Revenue_Growth_5yr_CAGR,Profit_Growth_TTM_Pct,Profit_Growth_3yr_CAGR,Profit_Growth_5yr_CAGR,EPS_Growth_Quarterly_Pct,EPS_Consistency_Score,EPS_Consistency_Desc,Debt_to_Equity,DE_Trend,Current_Ratio,Interest_Coverage,Free_Cashflow_Cr,FCF_Yield_Pct,Promoter_Holding_Pct,Promoter_Change_QoQ,Promoter_Pledge_Pct,FII_Holding_Pct,FII_Change_QoQ,DII_Holding_Pct,DII_Change_QoQ,52wk_High,52wk_Low,Dist_From_52wk_High_Pct,Dist_From_52wk_Low_Pct,RS_vs_Nifty_1yr_Pct,RS_vs_Nifty_3yr_Pct,Monthly_Vol_Surge,Beta,Piotroski_F_Score,Fundamental_Score_40,Technical_Score_30,Valuation_Score_20,Momentum_Score_10,Overall_Score_100,Rating_Grade,Why_Buy,Key_Risks,Investment_Horizon,Risk_Level,Data_Sources,Data_Quality_Pct,Monthly_Bars,Next_Earnings,Scan_Date,First_Seen_Date,Days_On_Watchlist,Price_Change_Since_First_Pct,Times_Scanned,Score_vs_First
APCOTEXIND,Apcotex Industries Limited,Basic Materials,Specialty Chemicals,2631.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=429 | 30-EMA=406 | Above by 25.1% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Uptrend,True,Stage2,1,Uptrend,Uptrend,507.4,405.67,300.82,431.29,874.91,1814.57,3763.42,1814.57,257.6,89.1,25.98,18.12,4.24,0.24,14.98,158.0,13.3,700.0,1,strong_buy,24.4,19.8,,10.0,-1.0,7.03,8.2,23.21,,,-2.56,,,107.3,0.15,highly inconsistent earnings,0.15,,1.66,,108.11,4.11,58.23,0.0,,0.64,0.02,2.23,0.0,579.0,310.45,12.4,63.4,32.47,-26.75,0.42,0.23,5,27.0,26.5,8.0,8.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~89% CAGR (2yr) | Profit CAGR 107% | ROE 24% | Low D/E 0.15 | Promoter 58% holding | Margin compressing ↓ ⚠️,Margin compression ↓,2-3 years,Medium,"yfinance, screener.in",80,288,,2026-07-15,2026-06-01,44,-0.2,6,-4.5
GLENMARK,Glenmark Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,64424.0,Large-Cap,MonthlyDoubleBottom,Forming,1.0,48,Sep 48mo | Mid rally 152% | Asymmetry 2%,,Uptrend,True,False,Uptrend,True,Stage2,6,Uptrend,Uptrend,2282.9,1214.53,478.22,1940.46,2168.72,2444.19,2675.45,2408.8,7.1,3.5,47.39,23.23,6.13,4.28,13.96,22.0,25.99,2497.27,11,buy,30.5,39.8,3.89,27.0,0.94,8.02,13.9,27.48,13.61,9.19,30.09,11.07,11.91,6382.0,0.15,highly inconsistent earnings,0.06,,1.77,,1177.36,1.83,46.65,0.0,,20.35,1.15,19.28,-0.81,2474.0,1792.6,7.7,27.4,19.85,174.01,0.26,0.26,7,34.0,26.5,5.0,4.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~4% CAGR (2yr) | ROE 30% | ROCE 40% | ROCE trend rising ↑ | Nearly debt-free | OPM 27%,Earnings due 2026-08-13 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,289,2026-08-13,2026-07-15,2026-06-01,44,-5.1,6,6.0
TALBROAUTO,Talbros Automotive Components Limited,Consumer Cyclical,Auto Parts,2519.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=329 | 30-EMA=283 | Above by 40.3% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Tight-Above-MAs,True,Stage2,3,Uptrend,Uptrend,396.5,282.52,215.33,337.02,934.93,1149.21,1412.61,1149.21,189.8,70.2,24.22,,3.39,1.06,18.23,18.0,11.87,,0,none,15.1,18.6,1.0,16.0,0.74,11.97,6.38,5.2,10.38,14.4,10.64,22.92,21.67,18.9,0.15,highly inconsistent earnings,0.11,,1.96,,20.53,0.82,58.43,0.0,,0.49,-0.12,0.09,0.0,435.0,219.9,8.9,80.3,54.03,65.26,0.52,0.33,7,26.0,28.5,7.0,8.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~70% CAGR (2yr) | Profit CAGR 23% | ROCE trend rising ↑ | Low D/E 0.11 | Promoter 58% holding | Piotroski F=7 (high quality compounder),None identified,2-3 years,Medium,"yfinance, screener.in",100,239,,2026-07-15,2026-06-01,44,20.0,6,1.0
INDOTHAI,Indo Thai Securities Limited,Financial Services,Capital Markets,2809.0,Small-Cap,MonthlyDoubleBottom,Forming,0.878,30,Sep 30mo | Mid rally 95% | Asymmetry 7%,,Downtrend,False,False,Below-MAs,False,Stage2,12,Uptrend,Uptrend,217.97,47.7,23.57,185.27,212.69,398.97,748.38,398.97,83.0,35.3,41.52,,9.87,0.47,,7.0,0.0,,0,none,28.6,34.6,0.66,83.0,4.43,65.09,21.98,285.19,135.13,36.43,725.0,87.58,48.96,,0.15,highly inconsistent earnings,0.08,,1.95,,,,56.5,-0.27,,1.22,-0.06,0.49,0.3,466.35,143.65,53.3,51.7,39.51,816.9,0.78,1.31,5,40.0,15.04,8.0,6.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~35% CAGR (2yr) | Revenue CAGR 135% | Profit CAGR 88% | ROE 29% | ROCE 35% | ROCE trend rising ↑,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",90,177,,2026-07-15,2026-06-01,44,-18.8,6,0.0
PIGL,Power & Instrumental (Gujarat) Limited,Industrials,Engineering & Construction,242.0,Micro-Cap,MonthlyDoubleBottom,Forming,1.0,18,Sep 18mo | Mid rally 153% | Asymmetry 4%,,Downtrend,False,False,Below-MAs,False,Stage2,4,Uptrend,Uptrend,103.97,92.78,35.99,88.37,231.09,359.03,557.78,359.03,245.3,85.8,25.16,,1.29,0.45,9.45,18.0,0.0,,0,none,11.0,15.5,1.2,10.0,0.8,6.59,6.86,29.59,32.57,,25.0,55.36,,29.5,0.4,lumpy earner,0.08,,2.44,,32.42,13.4,50.7,4.41,,0.01,0.01,0.75,0.75,189.7,88.05,45.2,18.1,-16.67,127.82,0.61,0.45,5,40.0,16.0,13.0,0.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~86% CAGR (2yr) | Revenue CAGR 33% | Profit CAGR 55% | ROCE trend rising ↑ | Nearly debt-free | Promoter 51% holding,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,97,,2026-07-15,2026-06-01,44,0.0,6,9.0
SAKSOFT,Saksoft Limited,Technology,Information Technology Services,2187.0,Small-Cap,MonthlyDoubleBottom,Breakout Ready,1.0,19,Sep 19mo | Mid rally 307% | Asymmetry 2%,,Sideways-Above-MA,True,True,Constructive,True,Downtrend,0,Uptrend,Uptrend,177.85,15.03,3.66,151.17,418.64,491.87,577.89,491.87,176.6,66.3,16.77,5.01,2.81,0.96,10.59,58.0,17.8,,0,none,19.6,25.5,0.03,19.0,0.43,13.23,10.48,14.04,14.78,21.14,22.02,17.49,24.2,19.7,0.75,consistent growth,0.06,,2.17,,85.14,3.89,66.72,0.04,,2.4,0.17,0.0,-0.14,249.5,107.59,28.7,65.3,-14.89,-55.55,4.19,0.31,7,36.0,23.0,10.0,0.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~66% CAGR (2yr) | ROCE 26% | ROCE trend rising ↑ | Nearly debt-free | Promoter 67% holding | FCF yield 3.9%,None identified,2-3 years,Medium,"yfinance, screener.in",100,255,,2026-07-15,2026-06-01,44,23.5,6,5.0
SENCO,Senco Gold Limited,Consumer Cyclical,Luxury Goods,5933.0,Small-Cap,MonthlyStage2,Stage Change,0.525,24,10-EMA=337 | 30-EMA=349 | Above by 7.9% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,True,Uptrend,True,Stage2,3,Uptrend,Uptrend,377.0,349.47,271.02,320.45,3366.47,3291.56,7955.95,5175.27,773.1,195.5,10.33,14.64,2.36,0.19,8.37,50.0,14.47,466.0,6,buy,25.6,20.9,-0.29,11.0,0.37,6.81,9.39,33.22,27.4,25.95,261.01,53.73,56.57,151.3,0.15,highly inconsistent earnings,1.07,,1.54,,-224.74,-3.79,64.49,0.02,,7.6,-0.61,12.61,0.53,404.85,276.0,6.9,36.6,3.47,60.82,0.93,0.5,4,30.0,20.8,15.0,3.0,68.8,ACCUMULATE ⭐⭐⭐,Expected ~196% CAGR (2yr) | Revenue CAGR 27% | Profit CAGR 54% | ROE 26% | ROCE 21% | Promoter 64% holding,High D/E 1.1,2-3 years,Medium,"yfinance, screener.in",100,37,,2026-07-15,2026-06-01,44,12.5,6,7.9
CAPLIPOINT,Caplin Point Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,19638.0,Mid-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=2092 | 30-EMA=1825 | Above by 41.6% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Tight-Above-MAs,True,Stage2,6,Uptrend,Uptrend,2583.6,1824.65,1504.8,2196.06,4540.46,5444.47,6528.46,5444.47,110.7,45.2,30.67,24.16,5.59,1.54,24.65,31.0,-3.85,2505.0,2,strong_buy,20.6,24.6,-0.6,35.0,0.91,29.32,11.86,12.91,14.24,15.57,20.15,19.91,20.96,19.3,1.0,steady compounder (low CV),0.0,,6.7,,2.13,0.01,70.57,0.0,,6.15,-0.43,2.14,0.09,2689.0,1500.3,3.9,72.2,24.18,120.87,0.43,0.19,6,30.0,28.5,2.0,8.0,68.5,ACCUMULATE ⭐⭐⭐,Expected ~45% CAGR (2yr) | ROE 21% | ROCE 25% | Nearly debt-free | Promoter 71% holding | OPM 35%,None identified,2-3 years,Medium,"yfinance, screener.in",100,146,,2026-07-15,2026-06-01,44,26.8,6,5.5
IPCALAB,Ipca Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,45360.0,Large-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=1587 | 30-EMA=1416 | Above by 32.2% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Uptrend,True,Stage2,6,Uptrend,Uptrend,1872.2,1416.12,1271.2,1591.37,3349.41,3410.64,6123.31,4528.74,82.2,35.0,39.68,27.23,5.62,1.13,23.46,34.0,-20.63,1733.5,18,buy,16.0,17.3,-2.37,21.0,-1.43,11.83,8.08,8.42,15.85,12.32,50.83,35.21,0.74,341.0,0.15,highly inconsistent earnings,0.09,,2.76,,751.99,1.66,44.72,0.0,,10.63,0.01,37.13,0.14,1812.5,1251.6,-3.3,49.6,36.32,89.93,0.4,0.05,5,26.0,26.5,6.0,10.0,68.5,ACCUMULATE ⭐⭐⭐,Expected ~35% CAGR (2yr) | Revenue CAGR 16% | Profit CAGR 35% | Nearly debt-free | Margin compressing ↓ ⚠️ | Piotroski F=5 (above average quality),Margin compression ↓ | Earnings due 2026-08-10,2-3 years,Medium,"yfinance, screener.in",100,367,2026-08-10,2026-07-15,2026-06-01,44,13.0,6,0.0
SANDUMA,The Sandur Manganese & Iron Ores Limited,Basic Materials,Steel,9884.0,Mid-Cap,MonthlyDoubleBottom,Forming,0.877,11,Sep 11mo | Mid rally 90% | Asymmetry 2%,MonthlyCupHandle+MonthlyDoubleBottom,Downtrend,False,False,Below-MAs,False,Stage2,1,Uptrend,Uptrend,201.35,210.6,109.48,171.15,388.12,521.68,701.18,521.68,159.1,61.0,15.06,,3.04,0.44,8.8,25.0,25.0,,0,none,23.2,24.4,-1.57,24.0,-2.46,12.9,11.16,62.3,33.76,48.61,39.7,34.41,34.95,50.5,0.15,highly inconsistent earnings,0.31,,1.16,,793.91,8.03,74.22,0.0,,1.63,0.43,0.66,-0.01,273.0,141.37,26.2,42.4,41.32,,0.12,0.77,4,38.0,13.52,11.0,6.0,68.5,ACCUMULATE ⭐⭐⭐,Expected ~61% CAGR (2yr) | Revenue CAGR 34% | Profit CAGR 34% | ROE 23% | ROCE 24% | Promoter 74% holding,Margin compression ↓ | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,35,,2026-07-15,2026-06-01,44,-11.0,6,-12.0
